context	label
John was lots more obnoxious than Fred was.	1
You should always lock your door, no matter how fancy the hotel might be.	1
You should always lock your door, no matter how fancy the hotel.	1
I don't plan to lock the door, no matter how fancy this hotel is.	1
I don't plan to lock the door, no matter how fancy this hotel.	0
I'm going out, whatever the weather.	1
I'm going out, wherever that hurricane might be.	1
I'm going out, wherever that hurricane.	0
The more examples Mary says that Bill has helped Fred to discover the less I believe her.	1
The more food Mary knows a man that eats the poorer she gets.	0
The fatter he goes to a doctor when he gets the more he eats.	0
The fatter that that he gets bothers him, the more he eats.	0
The more books I ask to whom he will give, the more he reads.	0
The more people I ask what he will give to the more he reads.	0
The more carefully he words the letter the safer he'll be.	1
The more carefully he knows a man that worded the letter the safer he'll be.	0
The more geniuses John meets, the angrier he gets.	1
The more John meets geniuses, the angrier he gets.	0
The more people you say will buy tickets, the happier I'll be.	1
The more people you say that will buy tickets, the happier I'll be.	0
The more people you say that right after the show opens will buy tickets, the happier I'll be.	1
The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.	1
The more he eats, the poorer he knows a woman that gets.	0
The more he eats, the fatter he goes to a doctor when he gets.	0
The more he eats, the fatter that that he gets really bothers me.	0
The more he reads, the more books I wonder to whom he will give.	0
The more he reads, the more people I wonder what he will give to.	0
The sooner you call, the more carefully I know a man that will word the letter.	0
The richer John gets, the more geniuses John meets.	1
The richer he gets, the more John meets geniuses.	0
The more articles he reads, the fewer people he thinks will go into linguistics.	1
The more articles he reads, the fewer people he thinks that will go into linguistics.	0
The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.	1
The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.	1
The more people that arrive, the louder that it gets.	1
The more people that arrive, the louder it gets.	1
The more people you give beer to, the more people that get sick.	1
The more people that you give beer to, the more people that get sick.	1
The more people arrive, the louder that it gets.	1
The more people arrive, the louder it gets.	1
The more people that you give beer to, the more people get sick.	1
The more pictures of John that he buys the more arrogant he becomes.	0
The more pictures of himself that John buys the more arrogant he becomes.	1
The man that arrived on the train was my brother.	1
The man arrived on the train was my brother.	0
The more people everyone who likes pays attention to, the happier we all are.	0
The later it gets, the more people everyone who likes pays attention to.	0
Whenever Bill smokes, Susan hates him all the more.	1
Whenever Bill smokes, Susan hates him much more.	1
Whenever Bill smokes, Susan hates him far more.	1
Whenever Bill smokes, Susan hates him a lot more.	1
Once Janet left, Fred became all the crazier.	1
Once Janet left, Fred became much crazier.	1
Once Janet left, Fred became far crazier.	1
Fred became all the crazier, the more often Janet left.	1
When Bill smokes, all the more does Susan hate him.	1
When Bill smokes, much more does Susan hate him.	0
When Bill smokes, all the more Susan hates him.	0
So much did you eat that everyone gasped.	1
So fast did you run that everyone gasped.	1
So intelligent a dog did you buy that everyone gasped.	1
I know how much you ate.	1
I know how fast you ran.	1
I know how intelligent a dog you bought.	1
He ate so much that he got sick.	1
So much did he eat that he got sick.	1
The more you eat, the more you want.	1
You eat the more, the more you want.	0
The more you eat, you want the more.	0
I wonder you ate how much.	0
I wonder to how many people Bill talks.	1
The longer he has to wait, the angrier John gets.	1
If he has to wait, John gets angry.	1
He gets angry, the longer John has to wait.	0
He gets angry if John has to wait.	0
The more that pictures of him appear in the news, the more embarrassed John becomes.	1
The more pictures of himself that appear in the news, the more embarrassed John becomes.	1
The more that pictures of himself appear in the news, the more embarrassed John becomes.	1
The more pictures of him appear in the news, the more likely John is to get arrested.	1
The more pictures of himself appear in the news, the more likely John is to get arrested.	0
The more that pictures of him appear in the news, the more likely John is to get arrested.	1
The more that pictures of himself appear in the news, the more likely John is to get arrested.	0
The more that John gets upset by them, the more that stories about him seem to show up in the news.	1
The more that John gets upset by them, the more that stories about himself seem to show up in the news.	0
John is more embarrassed, the more pictures of him appear in the news.	1
John is more embarrassed, the more pictures of him that appear in the news.	1
John is more embarrassed, the more pictures of himself appear in the news.	1
John is more embarrassed, the more pictures of himself that appear in the news.	1
Stories about him seem to show up more on the evening news, the more that John gets upset by them.	1
Stories about himself seem to show up more on the evening news, the more that John gets upset by them.	0
If you give him enough opportunity, every senator will succumb to corruption.	1
You give him enough opportunity and every senator will succumb to corruption.	1
We gave him enough opportunity and, sure enough, every senator succumbed to corruption.	0
If you give any senator enough opportunity, he will succumb to corruption.	1
You give any senator enough opportunity and he will succumb to corruption.	1
You give every senator enough opportunity and he will succumb to corruption.	0
We gave any senator enough opportunity and, sure enough, he succumbed to corruption.	0
We gave every senator enough opportunity and, sure enough, he succumbed to corruption.	0
The more lobbyists he talks to, the more corrupt every senator seems to become.	1
The more lobbyists wine and dine him, the more every senator is susceptible to corruption.	1
The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.	0
Every senator becomes more corrupt, the more lobbyists he talks to.	1
Any senator becomes more corrupt, the more lobbyists he talks to.	1
He seems to become more corrupt, the more lobbyists any senator talks to.	0
He seems to become more corrupt, the more lobbyists every senator talks to.	0
Every senator seems to become more corrupt, if he talks to more lobbyists.	1
Any senator seems to become more corrupt, if he talks to more lobbyists.	1
Any senator seems to become more corrupt, as he talks to more lobbyists.	1
He seems to become more corrupt, if any senator talks to more lobbyists.	0
He seems to become more corrupt, if every senator talks to more lobbyists.	0
He seems to become more corrupt, as every senator talks to more lobbyists.	0
He seems to become more corrupt, as any senator talks to more lobbyists.	0
The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters.	1
This is the sort of problem which the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.	1
The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy.	1
This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.	1
Who did you give pictures of to friends of?	1
It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.	1
It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.	0
Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?	0
Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?	0
Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?	0
The harder it rains, the faster who runs?	0
The louder who talks, the angrier you get?	0
The harder that it rains, how much faster a flow do you see in the river?	1
They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters.	1
I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of.	0
Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?	0
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.	0
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.	1
This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.	0
Those are the folks that you just solve this problem and you'll be able to put them on ice.	0
They failed to tell me which problem I'll beat the competition more easily, the sooner I solve.	0
This is the problem that you'll beat the competition more easily, the sooner you solve.	0
John saw the man in the room.	1
Which room did John see the man in?	1
Who did John think that Bill claimed that Mary suspected that everybody liked?	1
John could not visit Sally.	1
What John could do is not visit Sally.	1
John couldn't visit Sally.	1
Why did John leave?	1
I hit the ball.	1
You hit the ball.	1
He hit the ball.	0
She hit the ball.	0
They hit the ball.	1
Am not I going?	0
I am not going.	1
Aren't I going?	1
I aren't going.	0
Louise is unhappy, isn't she?	1
Louise likes not being happy, doesn't she?	1
Not many books survived the fire, did they?	1
No books survived the fire, did they?	1
He hasn't often paid taxes, has he?	1
He can't pay taxes, can he?	1
She does not see him.	1
She kept not seeing him.	1
She could not have been working.	1
Marianne not left.	0
Marianne left not.	0
He could not have been working.	1
He cannot have been working.	1
He can simply not have been working.	1
You must not simply not work.	1
He may not just not have been working.	1
He can't have been working.	1
Can't he have been working?	1
Can he not have been working?	1
Can he not have been working?	0
John wrote books.	1
John write books.	0
John wrote books.	0
John did not write books.	1
John seems that is nice.	0
`` I am so happy '', thought John.	1
down the hill rolled John.	1
John kisses often Mary.	0
John often kisses Mary.	1
Who do you think Mary said John likes?	1
Who did you ask whether Mary knows why John likes?	0
Who do you think that Mary said that John likes?	1
How do you wonder whether Mary solved the problem?	0
How do you think that Mary solved the problem?	1
How do you wonder whether John said that Mary solved the problem?	0
How do you wonder whether John said Mary solved the problem?	0
Which problem do you wonder whether John said that Mary solved?	0
How did you think that Mary solved the problem?	1
Mary hired someone.	1
I heard that Mary hired someone.	1
I resigned because Mary hired someone.	1
Mary wondered which picture of himself Bill saw?	1
Which picture of himself does Mary think that John said that Susan likes?	1
Mary thinks that John said that Susan likes pictures of himself?	0
Mary thinks that John said that pictures of himself, Susan likes?	1
If you don't believe me, you will the weatherman?	1
I rolled up a newspaper, and Lynn did a magazine?	1
Kathy likes astronomy, but she doesn't meteorology?	1
The DA proved Jones guilty and the Assistant DA will prove Smith.	1
Mary will believe Susan, and you will Bob.	1
You might not believe me but you will Bob.	1
You will Bob believe.	0
How did you solve the problem?	1
I wonder who could solve the problem in this way.	1
How do you wonder who could solve this problem.	0
No candidate can predict how many people will vote for him.	1
Every politician is worried when the press starts attacking him.	1
Which politician appointed the journalist who supported him?	1
The fact that no candidate was elected shows that he was inadequate.	0
John sells books, Mary buys records and Bill V newspapers.	1
The question of whether John met Mary worries the people who support.	1
They have left.	1
Have they left?	1
Could they have left?	1
He has often seen Mary.	1
He I often sees Mary.	1
He sees often Mary.	0
Sees he I often Mary?	0
It seems that it is likely that John will win.	1
It seems that John is likely to win.	1
John seems to be likely to win.	1
John seems that it is likely to win.	0
John seems will win.	0
How do you wonder which problem to solve?	0
How intelligent do you consider John?	1
How many people do you wonder whether I consider intelligent?	0
How intelligent do you wonder whether I consider John?	0
What the hell do you wonder how to say?	0
He has left.	1
His book is nice.	1
Bill saw him.	1
Bill works with him.	1
John believes him to be a nice guy.	1
John considers him a nice guy.	1
For him to do that would be a mistake.	1
With him sick, the team is in trouble.	1
A man to be in the garden is unlikely.	0
A man to come is unlikely.	0
John to call would be unlikely.	0
This conclusion to be arrived at is surprising.	0
John believes that he is sick.	1
John believes that him is sick.	0
John tries him to win.	0
John wonders where him to go.	0
Who do you think that Bill likes?	1
Who do you think that Bill believes to be innocent?	1
Who do you think that believes John to be innocent?	0
Who would you prefer for to win the race?	0
Someone stole my car.	1
My car was stolen.	1
The children eat all chocolate.	0
John has often kissed Mary.	1
The kids have all eaten the chocolate.	1
In general, he understands what's going on.	1
It's probable that in general he understands what's going on.	1
It's probable in general that he understands what's going on.	0
In general that he understands what's going on is surprising.	0
I explained how to fix the sink.	1
I explained how we should fix the sink.	1
I explained that we should fix the sink.	1
I explained to fix the sink.	0
Mickey looked up the reference.	1
Mickey looked the reference up.	1
Mickey looked up them.	1
Mickey teamed up with the women.	1
Mickey teamed with the women up.	0
Mickey pointed out that Gary had left.	1
Mickey pointed that Gary had left out.	0
Mickey slips up all the time.	1
Mickey slips all the time up.	0
What does John think Mary bought?	1
John thinks what Mary bought.	0
John wonders what Mary bought.	1
What does John wonder Mary bought?	0
Who is he reading a book that criticizes?	0
What do you remember where we bought?	0
Who bought what?	1
Who is reading a book that criticizes who?	1
Who remembers where we bought what?	1
I wonder who what bought?	0
I wonder what who bought?	0
There aren't many linguistics students here.	1
I haven't met many linguistics students.	1
What does every student buy?	1
I need Sally to be there.	1
The boat sank to collect the insurance.	0
The boat was sunk to collect the insurance.	1
John wants to win.	1
The bed was unmade.	1
Headway was unmade.	0
John was unknown.	1
John was unknown to be the murderer.	0
We knew John to be the murderer.	1
He fed the children.	1
The children were uneducated.	1
The children were undisciplined.	1
I believed these students all to like John.	1
They tried to all like John.	1
I believed these students to all like John.	1
Did he try ever to talk to the student?	0
Did you believe him ever to have made an effort to talk to the student?	1
Did he try to ever be attentive to the needs of students?	1
Did you believe him to ever have made an effort to talk to the student?	1
work out an analysis that is typical of this view of understood subjects.	1
They were believed all to be quite diligent.	1
Was he believed ever to fail students?	1
There is tending to be more and more discussion of these issues.	1
John seemed to be a great linguist.	1
There promises to be a storm tonight.	1
John strived to be successful.	1
John wanted to improve his lot in life.	1
John expected to win.	1
This book is too dense to be read in one sitting.	1
There is too likely to be a riot to be a serious discussion of the issues.	0
John tried.	1
John remembered.	1
John is refused.	1
John forgot.	1
Bill seems to be obnoxious, but I don't think that Sam happens.	0
Bill seems to be obnoxious, but I don't think that Sam turns out.	0
Bill seems to be obnoxious, but I don't think that Sam tends.	0
They tried all to like John.	0
They seemed all to like John.	1
John believes Sally to be polite.	1
I believe John with all my heart to be a fine person.	1
John is wanted to win.	0
John would be liked to win.	0
We would like John to win.	1
John would be hated to win.	0
John would be preferred to be the candidate.	0
We would prefer John to be the candidate.	1
I would like for John to win.	1
I would hate for John to win.	1
I would prefer for John to be the candidate.	1
John destroyed the house.	1
The electrode emitted ions into the medium.	1
Ions struck the electrode.	1
The medium contains ions.	1
The house destroyed John.	0
Ions left the electrode.	1
The electrode was left by ions.	0
The electrode was struck by ions.	1
The ball lies in the box.	1
The ball rolled from the bush to the tree.	1
The box contains the ball.	1
The tree dropped fruit to the ground.	1
Fruit hit the ground from the tree.	1
The stone knocked against the pole into the road.	1
The stone knocked the pole into the road.	1
The box contained the ball.	1
The box gradually contained the ball.	0
The box at once contained the ball.	0
The box contained the ball to the ground.	0
The tree gradually dropped its fruit to the ground.	1
The tree dropped its fruit to the ground.	1
Fruit hit the roof.	1
Fruit hit the roof from the tree.	1
Fruit at once hit the roof from the tree.	1
Fruit hit the roof against the ground.	0
Fruit at once hit the roof against the ground.	0
Fruit dropped from the tree.	1
Fruit dropped from the tree from the clouds.	0
Fruit fell against the house.	0
Fruit fell against the house against the ground.	0
The tree changed into an oak.	1
The tree changed from a maple into an oak.	1
The maple changed into an oak from a cedar.	0
The maple changed into an oak from a cedar.	1
The maple changed into an oak.	1
The oak developed out of a maple.	1
The train reached the station.	1
The branches knocked against the wall.	1
The child became a man.	1
The party lasted till midnight.	1
The dog went crazy.	1
It struck John that it was so.	1
It came to John that it was so.	1
The snake saw into the nest.	1
Hard work resulted in high grades.	1
The farm passed to John.	1
John is touching the wall.	1
The wall is being touched by John.	1
A bear occupies the cave.	1
A bear inhabits the cave.	1
Water fills the tub.	1
The electric main joins the house circuit in the basement.	1
The house circuit is joined by the electric main in the basement.	1
The fence straddles the sidewalk.	1
The sidewalk is straddled by the fence.	1
The man with a book.	1
Gas escaped the tube.	1
The terrorist escaped the prison cell.	1
The prison cell was escaped by the terrorist.	1
The rolling stone avoided the river.	1
The river was avoided by the rolling stone.	1
The agents caught the terrorist.	1
The sponge soaked up the water.	1
The tub filled with water.	1
John received a book.	1
John learned a lesson.	1
The parcel reached John.	1
John received the parcel.	1
The farm finally got to John after much litigation.	1
The farm finally reached John after much litigation.	0
Water filled the cup high.	1
Water filled the cup.	1
Water emptied the cup.	0
The cup filled the water high.	0
The cup filled of water.	0
The cup filled with water.	1
The cup emptied with water.	0
the barge piled high with logs.	1
the road blocked with a stone.	0
the branch dropped bare of its apple.	0
the logs piled the barge high.	0
a stone blocked the road.	1
the bottle drained the liquid free.	0
the branch dropped its apple free.	1
Some branches broke off of the tree.	1
The tree broke off some branches.	0
The tree dropped some branches.	1
The tree lost some branches.	1
Water bubbled out of the kettle.	1
The kettle bubbled water up.	0
The kettle bubbled water.	1
The cup filled water.	0
The stone knocked the pole into the road.	0
The tub leaked empty of water.	1
The stone knocked against the pole into the road.	0
Hail stones broke the window.	1
The force of the wind broke the window.	1
The window broke from hail stones.	0
The window broke from the force of the wind.	1
What the force of the wind did to the window was break it.	1
John hit the stone against the wall.	1
John hit the wall with the stone.	1
John tapped some wine from a barrel.	1
John tapped a barrel of some wine.	1
John laid the book on the table.	1
John included his name in the list.	1
John loaded the bricks onto the truck.	1
John loaded the truck with bricks.	1
John fed rice to the baby.	1
John fed the baby rice.	1
John fed the baby up with rice.	1
John fed the baby rice up.	0
The ball lies completely in the box.	1
The box completely contains the ball.	1
The train got to the station fully.	1
The train reached the station fully.	1
Press the stamp against the pad completely.	1
Press the pad with the stamp completely.	1
Spray the paint onto the wall completely.	1
Spray all the paint onto the wall completely.	1
Spray the wall with all the paint.	0
Spray the whole wall with the paint.	1
What John did to the wall was paint it.	1
What John did to the whole wall was paint it.	1
What John did to the wall was hit it.	1
What the stone did to the wall was hit it.	0
What the stone did to the whole wall was hit it.	0
John took Bill to be a fool.	1
John concluded Bill to be a fool.	0
Give the bottle to the baby full.	1
Give the bottle to the baby awake.	0
Give the baby the bottle full.	1
Give the baby the bottle awake.	0
Rub the cloth on the baby torn.	1
Rub the cloth on the baby asleep.	0
Rub the baby with the cloth torn.	1
Rub the baby with the cloth asleep.	0
Dry the baby with the cloth asleep.	1
Dry the baby with the cloth torn.	0
The cup knocked the stone apart.	0
The stone knocked the cup apart.	1
The cup smashed apart against the stone.	1
The stone smashed the cup apart.	1
The tank filled with petrol out of the pump.	1
The cup emptied of water onto the ground.	1
John included her name in the list.	1
John rolled the ball from the tree to the bush.	1
John tapped the bottle of some water.	1
John gave Bill the book.	1
John got the book from Bill.	1
John gave Bill of the book.	0
We have someone in the living room.	1
John is very fond of Mary.	1
Mary laughed at John.	1
The ship sank beneath the waves.	1
Mary considers John a fool and Bill a wimp.	1
John regards professors as strange and politicians as creepy.	1
Sue put the books on the table and the records on the chair.	1
Harriet gave a mug to John and a scarf to Vivien.	1
I expect John to win and Harry to lose.	1
You eat the fish raw and the beef cooked.	1
They told Sue who to talk to and Virginia when to leave.	1
Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library.	1
Sue moved, and Mary also transferred, her business to a different location.	1
I succeeded in convincing, even though John had failed to persuade, Mary not to leave.	1
We didn't particularly like, but nevertheless ate, the fish raw.	1
Flo desperately wants, though she doesn't really expect, the Miami Dolphins to be in the play-offs.	1
John learned French perfectly.	1
Bill recited his lines poorly.	1
Mary plays the violin beautifully.	1
John perfectly learned French.	0
Bill poorly recited his lines.	0
John learned French immediately.	1
Bill recited his lines slowly.	1
Mary will play the violin soon.	1
John immediately learned French.	1
Bill slowly recited his lines.	1
Mary will soon play the violin.	1
John immediately learned French perfectly.	1
John learned French perfectly almost immediately.	1
John learned French perfectly immediately.	1
John perfectly learned French immediately.	0
John learned French immediately perfectly.	0
Clearly, John immediately will probably learn French perfectly.	0
Immediately, John probably will clearly learn French perfectly.	0
Clearly, John perfectly will immediately learn French probably.	0
John perfectly rolled the ball down the hill.	0
John rolled the ball perfectly down the hill.	1
John rolled the ball down the hill perfectly.	1
John perfectly shot the ball.	0
John shot the ball perfectly.	1
John intimately spoke to Mary.	0
John spoke intimately to Mary.	1
John spoke to Mary intimately.	1
John spoke French intimately to Mary.	1
John spoke French to Mary intimately.	1
Mary jumped the horse perfectly over the last fence.	1
Mary jumped the horse over the last fence perfectly.	1
John spoke intimately French to Mary.	0
John spoke to Mary French.	0
Mary persuaded to leave John.	0
The lions ate raw the meat.	0
Mary persuaded that he should rest Bill.	0
We consider the men all fools.	1
We consider the men all totally crazy.	1
I saw the men all.	0
The men were arrested all.	0
The men arrived all.	0
The teacher ordered the two boys both to pay close attention.	1
They returned the books all to their owners.	1
We painted the chairs all red.	1
The trainer fed the steaks all to the lions.	1
Bill proud of himself John doesn't consider.	0
Home was gone by John.	0
Mary left the room angry.	1
The room was left angry by Mary.	0
The room was left angry.	0
John resembles Bill.	1
Bill is resembled by John.	0
The package weighed 10 lb.	1
10 lb was weighed by the package.	0
This book cost $10.	1
$10 was cost by this book.	0
The book cost John $10.	1
John was cost $10 by the book.	0
John is impressed by Bill as pompous.	0
The boys were made a good mother.	0
The boys were made a good mother by Aunt Mary.	0
The kids were failed by Max as a father.	0
The kids were failed as a father.	0
The men were struck by the idea as nonsense.	0
The men were promised to leave.	0
He impresses his friends all as pompous.	0
Aunt Mary made the boys all a good mother.	0
Max failed the kids all as a father.	0
Frank promised the men all to leave.	0
We proclaimed to the public John to be a hero.	0
We proclaimed John to the public to be a hero.	1
We proclaimed sincerely John to be a hero.	0
We proclaimed John sincerely to be a hero.	1
We proclaimed sincerely to the public John to be a hero.	0
We proclaimed John sincerely to the public to be a hero.	1
They represented to the dean Mary as a genuine linguist.	0
They represented Mary to the dean as a genuine linguist.	1
They represented seriously Mary as a genuine linguist.	0
They represented Mary seriously as a genuine linguist.	1
They represented Mary seriously to the dean as a genuine linguist.	1
We proved to the authorities Smith to be the thief.	0
We proved conclusively Smith to be the thief.	0
We proved Smith conclusively to be the thief.	1
We proved conclusively to the authorities Smith to be the thief.	0
We proved Smith conclusively to the authorities to be the thief.	1
The gardener watered the tulips flat.	1
The grocer ground the coffee beans to a fine powder.	1
They painted their house a hideous shade of green.	1
The joggers ran their Nikes threadbare.	1
The kids laughed themselves into a frenzy.	1
He coughed his handkerchief completely soggy.	1
They fed the meat to the lions raw.	1
The lions ate at the meat raw.	0
We love them.	1
We love they.	0
We love their.	0
Us love their.	0
Our love they.	1
Our love them.	1
Our love their.	1
he belief that Mary kissed Bill is mistaken.	0
him belief that Mary kissed Bill is mistaken.	0
his belief that Mary kissed Bill is mistaken.	1
Mary loves him.	1
Mary is fond of him.	1
Mary is fond him.	0
Mary criticized him.	1
Mary's criticism him was cruel.	0
Mary's criticism of him was cruel.	1
That John loves Mary is doubtful.	1
John to love Mary would be doubtful.	0
For John to love Mary would be doubtful.	1
To go abroad would be nice.	1
John's plan to go abroad is nice.	1
Mary believed John to have loved her.	1
Mary considered John to have loved her.	1
Mary reported John to have loved her.	1
